State,County,TotalPopulation,LowAccess_1MUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_10MRural,LowAccess_LowInc_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_20MRural,LowAccessTotal_HalfM,LowAccess_LowIncTotal_HalfM,LowAccessWhite_HalfM,LowAccessBlack_HalfM,LowAccessAsian_HalfM,LowAccessNHPI_HalfM,LowAccessNAAN_HalfM,LowAccessOther_HalfM,LowAccessHispLatam_HalfM,LowAccessSNAP_HalfM,LowAccessWhite_1M,LowAccessBlack_1M,LowAccessAsian_1M,LowAccessNHPI_1M,LowAccessNAAN_1M,LowAccessOther_1M,LowAccessHispLatam_1M,LowAccessSNAP_1M,LowAccessWhite_10M,LowAccessBlack_10M,LowAccessAsian_10M,LowAccessNHPI_10M,LowAccessNAAN_10M,LowAccessOther_10M,LowAccessHispLatam_10M,LowAccessSNAP_10M,TotalPopulationWhite,TotalPopulationBlack,TotalPopulationAsian,TotalPopulationNHPI,TotalPopulationNAAN,TotalPopulationOther,TotalPopulationHispanicLatam,TotalPopulationSnapBenefits,,
Alabama,Chilton County," 43,643 "," 2,223 "," 2,864 "," 1,986 ", 954 ," 1,214 ", 856 ," 20,628 "," 8,475 "," 17,441 "," 1,884 ", 62 , 27 , 75 ," 1,139 "," 1,643 "," 1,411 "," 15,932 "," 1,373 ", 51 , 24 , 70 ," 1,001 "," 1,485 "," 1,241 ", 219 , 6 , 2 , 1 , 9 , 12 , 11 , 27 ," 36,713 "," 4,230 ", 130 , 55 , 126 , 252 , 880 ," 1,623 ",,
Alabama,Choctaw County," 13,859 "," 1,686 "," 1,686 ", -   , 904 , 904 , -   ," 6,690 "," 3,160 "," 3,669 "," 2,970 ", 5 , -   , 8 , 39 , 35 , 694 ," 3,339 "," 2,780 ", 4 , -   , 7 , 33 , 31 , 637 , 472 ," 1,206 ", -   , -   , 5 , 12 , 14 , 407 ," 7,731 "," 6,012 ", 12 , -   , 5 , 10 , 36 , 799 ,,
Alabama,Clarke County," 25,833 "," 5,093 "," 6,050 "," 3,234 "," 2,370 "," 2,783 "," 1,420 "," 12,000 "," 5,464 "," 6,438 "," 5,371 ", 33 , 2 , 45 , 110 , 126 , 937 ," 5,461 "," 4,612 ", 26 , 1 , 35 , 92 , 101 , 803 , 700 ," 1,138 ", 2 , 1 , 10 , 28 , 21 , 299 ," 14,070 "," 11,336 ", 77 , 4 , 17 , 35 , 121 ," 1,078 ",,
Alabama,Clay County," 13,932 ", 489 , 489 , -   , 207 , 207 , -   ," 6,186 "," 2,702 "," 5,130 ", 855 , 6 , -   , 24 , 171 , 154 , 380 ," 4,661 ", 464 , 3 , -   , 22 , 138 , 105 , 318 , 456 , 23 , 1 , -   , 3 , 15 , 14 , 55 ," 11,380 "," 2,066 ", 24 , -   , 23 , 46 , 162 , 437 ,,
Alabama,Cleburne County," 14,972 ", 446 , 446 , -   , 152 , 152 , -   ," 6,822 "," 2,798 "," 6,457 ", 192 , 10 , 4 , 21 , 138 , 138 , 382 ," 5,945 ", 133 , 10 , 4 , 20 , 118 , 121 , 323 , 436 , 1 , 0 , -   , 2 , 15 , 20 , 39 ," 14,079 ", 498 , 23 , 10 , 18 , 36 , 127 , 439 ,,
Alabama,Coffee County," 49,948 "," 8,030 "," 12,074 "," 6,812 "," 2,246 "," 3,826 "," 1,839 "," 21,791 "," 7,024 "," 16,802 "," 3,116 ", 280 , 47 , 303 ," 1,244 "," 1,346 "," 1,106 "," 13,806 "," 1,651 ", 199 , 17 , 268 , 845 , 854 , 809 ," 1,135 ", 20 , 5 , -   , 66 , 55 , 22 , 136 ," 37,330 "," 8,359 ", 644 , 100 , 176 , 352 ," 1,230 "," 1,272 ",,
Alabama,Colbert County," 54,428 "," 8,951 "," 14,351 "," 8,445 "," 2,403 "," 4,813 "," 2,249 "," 23,915 "," 8,553 "," 19,316 "," 3,783 ", 101 , 10 , 117 , 588 , 460 ," 1,173 "," 15,343 "," 2,180 ", 80 , 7 , 101 , 414 , 324 , 722 , 480 , 1 , 1 , -   , 23 , 24 , 41 , 43 ," 43,789 "," 8,768 ", 229 , 20 , 81 , 162 , 568 ," 1,349 ",,
Alabama,Conecuh County," 13,228 "," 1,743 "," 1,743 ", -   , 879 , 879 , -   ," 6,138 "," 3,537 "," 3,278 "," 2,738 ", 8 , 0 , 22 , 92 , 58 , 465 ," 2,913 "," 2,059 ", 6 , 0 , 20 , 71 , 38 , 370 ," 1,242 ", 469 , 4 , -   , 12 , 48 , 22 , 261 ," 6,788 "," 6,149 ", 17 , 1 , 14 , 27 , 96 , 534 ,,
Alabama,Coosa County," 11,539 "," 1,303 "," 1,303 ", -   , 445 , 445 , -   ," 5,488 "," 2,230 "," 3,764 "," 1,577 ", 8 , 7 , 16 , 115 , 113 , 235 ," 3,686 "," 1,349 ", 8 , 7 , 15 , 109 , 108 , 220 ," 1,065 ", 220 , 1 , -   , 3 , 31 , 28 , 99 ," 7,648 "," 3,582 ", 16 , 15 , 14 , 28 , 97 , 271 ,,
Alabama,Covington County," 37,765 "," 2,439 "," 3,708 ", 969 ," 1,035 "," 1,794 ", 528 ," 16,824 "," 6,775 "," 14,319 "," 2,064 ", 58 , 1 , 93 , 289 , 200 , 961 ," 11,698 "," 1,269 ", 32 , 1 , 76 , 211 , 142 , 711 ," 1,411 ", 35 , 4 , -   , 16 , 28 , 18 , 121 ," 32,022 "," 4,716 ", 155 , 1 , 44 , 87 , 305 ," 1,105 ",,
Alabama,Crenshaw County," 13,906 "," 2,050 "," 2,050 ", -   , 939 , 939 , -   ," 6,201 "," 2,733 "," 4,584 "," 1,396 ", 63 , 0 , 25 , 133 , 79 , 473 ," 4,113 "," 1,131 ", 29 , -   , 23 , 112 , 67 , 408 ," 1,467 ", 538 , 5 , -   , 12 , 73 , 34 , 283 ," 10,097 "," 3,254 ", 189 , 8 , 18 , 36 , 125 , 544 ,,
Alabama,Cullman County," 80,406 "," 3,386 "," 7,465 "," 2,849 "," 1,143 "," 2,966 ", 913 ," 37,858 "," 15,343 "," 35,880 ", 392 , 152 , 9 , 200 ," 1,227 "," 1,545 "," 1,757 "," 30,723 ", 321 , 112 , 7 , 179 , 991 ," 1,169 "," 1,444 ", 532 , -   , 2 , -   , 2 , 6 , 14 , 51 ," 76,133 ", 856 , 343 , 18 , 153 , 306 ," 1,070 "," 2,020 ",,
Alabama,Dale County," 50,251 "," 5,812 "," 7,784 "," 5,473 "," 2,210 "," 3,346 "," 2,071 "," 23,517 "," 9,642 "," 17,800 "," 4,151 ", 248 , 21 , 177 ," 1,120 "," 1,351 "," 1,754 "," 15,853 "," 3,057 ", 208 , 19 , 159 , 986 ," 1,183 "," 1,385 ", 279 , 50 , 0 , 1 , 2 , 16 , 42 , 60 ," 37,236 "," 9,679 ", 534 , 44 , 138 , 276 , 965 ," 2,017 ",,
Alabama,Dallas County," 43,820 "," 3,336 "," 8,891 "," 1,266 "," 1,921 "," 5,944 ", 624 ," 18,149 "," 10,188 "," 5,591 "," 12,306 ", 56 , 5 , 35 , 156 , 134 ," 2,117 "," 4,734 "," 7,081 ", 20 , 3 , 26 , 96 , 79 ," 1,215 ", 551 ," 1,545 ", 2 , 5 , 4 , 29 , 32 , 564 ," 12,769 "," 30,423 ", 149 , 11 , 23 , 47 , 164 ," 2,435 ",,
Alabama,DeKalb County," 71,109 ", -   , -   , -   , -   , -   , -   ," 33,256 "," 16,104 "," 28,249 ", 456 , 90 , 71 , 456 ," 3,934 "," 4,417 "," 2,341 "," 25,178 ", 304 , 77 , 63 , 393 ," 2,832 "," 3,186 "," 2,010 ", -   , -   , -   , -   , -   , -   , -   , -   ," 60,087 "," 1,078 ", 203 , 147 , 480 , 959 ," 3,358 "," 2,693 ",,
Alabama,Elmore County," 79,303 "," 7,533 "," 10,085 "," 7,521 "," 1,976 "," 2,853 "," 1,974 "," 37,250 "," 10,445 "," 28,333 "," 7,596 ", 216 , 25 , 128 , 952 , 983 ," 1,676 "," 25,028 "," 6,686 ", 164 , 19 , 111 , 717 , 731 ," 1,407 ", 11 , 0 , -   , -   , -   , 0 , -   , 1 ," 60,455 "," 15,900 ", 518 , 63 , 118 , 237 , 828 ," 1,927 ",,
Alabama,Escambia County," 38,319 "," 2,039 "," 3,233 ", 976 ," 1,088 "," 1,805 ", 564 ," 17,287 "," 8,744 "," 11,042 "," 5,170 ", 40 , 6 , 614 , 416 , 320 ," 1,055 "," 8,717 "," 3,616 ", 25 , 1 , 554 , 316 , 233 , 760 , 869 , 121 , 2 , -   , 81 , 64 , 34 , 107 ," 23,784 "," 12,220 ", 92 , 12 , 111 , 221 , 774 ," 1,213 ",,
Alabama,Etowah County," 104,430 "," 21,232 "," 29,202 "," 21,232 "," 6,996 "," 10,906 "," 6,996 "," 45,905 "," 17,165 "," 38,491 "," 5,548 ", 270 , 48 , 194 ," 1,354 "," 1,236 "," 2,408 "," 33,059 "," 2,708 ", 182 , 16 , 160 ," 1,003 ", 866 ," 1,718 ", -   , -   , -   , -   , -   , -   , -   , -   ," 83,823 "," 15,796 ", 672 , 171 , 198 , 397 ," 1,389 "," 2,769 ",,
Alabama,Fayette County," 17,241 ", 82 , 82 , -   , 37 , 37 , -   ," 7,551 "," 3,355 "," 6,649 ", 742 , 17 , -   , 23 , 120 , 88 , 563 ," 5,608 ", 458 , 11 , -   , 21 , 93 , 68 , 447 , 61 , 20 , -   , -   , -   , 1 , 0 , 16 ," 14,910 "," 1,969 ", 37 , -   , 16 , 33 , 114 , 647 ,,
Alabama,Franklin County," 31,704 "," 2,246 "," 3,423 "," 1,799 ", 909 ," 1,492 ", 732 ," 13,203 "," 6,040 "," 11,416 ", 431 , 26 , 5 , 83 ," 1,242 "," 1,558 ", 901 ," 9,426 ", 202 , 21 , 4 , 71 , 873 ," 1,095 ", 700 , 427 , 3 , 6 , 0 , 6 , 22 , 30 , 56 ," 26,320 "," 1,228 ", 63 , 10 , 204 , 408 ," 1,429 "," 1,036 ",,
Alabama,Geneva County," 26,790 "," 1,122 "," 1,602 "," 1,117 ", 518 , 745 , 516 ," 11,218 "," 4,912 "," 9,823 ", 928 , 26 , 4 , 100 , 337 , 395 , 854 ," 8,751 ", 663 , 22 , 4 , 93 , 298 , 357 , 743 , 3 , -   , -   , -   , -   , 1 , -   , 1 ," 23,127 "," 2,539 ", 67 , 8 , 52 , 105 , 367 , 982 ,,
Alabama,Greene County," 9,045 "," 1,486 "," 1,486 ", -   ," 1,029 "," 1,029 ", -   ," 4,021 "," 2,608 ", 718 ," 3,265 ", 4 , -   , 8 , 27 , 24 , 700 , 602 ," 2,967 ", 2 , -   , 7 , 19 , 18 , 628 , 205 ," 1,267 ", 2 , -   , 10 , 13 , 20 , 497 ," 1,575 "," 7,370 ", 15 , -   , 4 , 9 , 30 , 805 ,,
Alabama,Hale County," 15,760 "," 1,195 "," 1,195 ", -   , 550 , 550 , -   ," 6,970 "," 3,485 "," 2,830 "," 4,061 ", 8 , 1 , 10 , 60 , 67 , 701 ," 2,737 "," 3,689 ", 8 , 1 , 10 , 57 , 62 , 630 , 702 , 480 , -   , 1 , 1 , 23 , 18 , 188 ," 6,266 "," 9,301 ", 35 , 1 , 8 , 16 , 55 , 806 ,,
Alabama,Henry County," 17,302 "," 1,982 "," 2,839 "," 1,861 ", 696 ," 1,022 ", 639 ," 7,996 "," 3,282 "," 5,542 "," 2,230 ", 24 , 1 , 28 , 171 , 176 , 565 ," 4,641 "," 1,885 ", 15 , 1 , 24 , 137 , 145 , 478 , 79 , 40 , -   , -   , 1 , 1 , 3 , 19 ," 11,865 "," 4,942 ", 54 , 2 , 22 , 44 , 154 , 650 ,,
Alabama,Houston County," 101,547 "," 7,199 "," 20,601 "," 6,846 "," 2,154 "," 7,909 "," 1,992 "," 40,579 "," 15,700 "," 29,615 "," 9,280 ", 330 , 14 , 178 ," 1,163 "," 1,162 "," 2,229 "," 21,002 "," 4,215 ", 187 , 9 , 133 , 775 , 792 ," 1,225 ", 276 , 63 , -   , -   , 13 , 18 , 9 , 41 ," 71,053 "," 26,176 ", 820 , 49 , 172 , 345 ," 1,207 "," 2,564 ",,
Alabama,Jackson County," 53,227 "," 2,820 "," 4,661 "," 1,298 "," 1,429 "," 2,324 ", 728 ," 25,213 "," 11,522 "," 23,023 ", 743 , 77 , 24 , 343 ," 1,003 ", 640 ," 1,282 "," 19,834 ", 522 , 59 , 21 , 303 , 852 , 542 ," 1,072 "," 1,439 ", 9 , 2 , -   , 68 , 78 , 56 , 145 ," 48,348 "," 1,781 ", 185 , 48 , 143 , 287 ," 1,003 "," 1,474 ",,
Alabama,Jefferson County," 658,466 "," 113,289 "," 222,479 "," 111,068 "," 41,439 "," 82,509 "," 40,844 "," 265,965 "," 94,625 "," 141,934 "," 111,842 "," 3,266 ", 96 , 691 ," 8,136 "," 9,535 "," 15,885 "," 85,557 "," 61,807 "," 1,394 ", 52 , 391 ," 4,246 "," 4,805 "," 9,153 "," 1,642 ", 555 , 4 , 1 , 9 , 32 , 17 , 81 ," 349,166 "," 276,525 "," 9,158 ", 244 ," 1,169 "," 2,337 "," 8,181 "," 18,267 ",,
Alabama,Lamar County," 14,564 ", 45 , 45 , -   , 30 , 30 , -   ," 6,374 "," 2,873 "," 5,588 ", 653 , 2 , 1 , 11 , 119 , 81 , 466 ," 5,025 ", 428 , 2 , 1 , 8 , 100 , 68 , 403 , 44 , 1 , -   , -   , -   , 0 , 0 , 7 ," 12,626 "," 1,643 ", 4 , 2 , 14 , 29 , 101 , 536 ,,
Alabama,Lauderdale County," 92,709 "," 7,881 "," 17,942 "," 7,467 "," 2,999 "," 8,029 "," 2,799 "," 40,341 "," 14,851 "," 35,866 "," 3,078 ", 294 , 13 , 141 , 950 , 847 ," 1,988 "," 26,479 "," 1,301 ", 122 , 8 , 98 , 515 , 443 ," 1,067 ", 406 , 2 , 0 , -   , 2 , 10 , 1 , 39 ," 80,112 "," 9,257 ", 685 , 34 , 131 , 262 , 917 ," 2,287 ",,
Alabama,Lawrence County," 34,339 "," 2,137 "," 2,981 "," 1,031 ", 919 ," 1,292 ", 429 ," 16,585 "," 6,076 "," 12,888 "," 1,866 ", 20 , 3 , 959 , 850 , 280 ," 1,006 "," 12,186 "," 1,413 ", 15 , 3 , 919 , 805 , 262 , 907 , 927 , 20 , 1 , -   , 205 , 113 , 25 , 107 ," 26,647 "," 3,938 ", 42 , 6 , 185 , 371 ," 1,297 "," 1,157 ",,
Alabama,Lee County," 140,247 "," 23,538 "," 44,121 "," 23,140 "," 7,762 "," 18,056 "," 7,604 "," 59,526 "," 23,081 "," 43,104 "," 13,245 "," 1,331 ", 35 , 194 ," 1,617 "," 1,769 "," 2,632 "," 28,982 "," 7,955 ", 687 , 17 , 121 , 919 , 985 ," 1,640 ", 236 , 158 , 0 , -   , 1 , 7 , 5 , 32 ," 100,006 "," 31,901 "," 3,658 ", 105 , 229 , 458 ," 1,602 "," 3,026 ",,
Alabama,Limestone County," 82,782 "," 7,059 "," 9,213 "," 6,904 "," 2,660 "," 3,681 "," 2,632 "," 39,019 "," 12,581 "," 31,388 "," 4,930 ", 426 , 15 , 256 ," 2,004 "," 2,124 "," 1,738 "," 27,816 "," 3,888 ", 342 , 13 , 223 ," 1,676 "," 1,755 "," 1,473 ", 151 , -   , -   , -   , 1 , 5 , 1 , 12 ," 66,506 "," 10,429 ", 924 , 42 , 244 , 488 ," 1,708 "," 1,999 ",,
Alabama,Lowndes County," 11,299 "," 2,205 "," 2,205 ", -   ," 1,141 "," 1,141 ", -   ," 5,509 "," 2,988 "," 1,413 "," 4,031 ", 7 , -   , 13 , 45 , 43 , 689 ," 1,369 "," 3,894 ", 7 , -   , 13 , 45 , 43 , 663 , 495 ," 1,684 ", 2 , -   , 4 , 46 , 34 , 520 ," 2,859 "," 8,310 ", 14 , -   , 6 , 12 , 41 , 792 ,,
Alabama,Macon County," 21,452 "," 4,498 "," 5,778 "," 3,397 "," 2,370 "," 3,104 "," 1,801 "," 10,214 "," 5,146 "," 1,627 "," 8,401 ", 35 , 1 , 14 , 136 , 111 , 969 ," 1,564 "," 7,131 ", 34 , 1 , 11 , 113 , 94 , 821 , 236 , 850 , 6 , -   , 1 , 23 , 17 , 195 ," 3,319 "," 17,729 ", 76 , 2 , 16 , 33 , 114 ," 1,115 ",,
Alabama,Madison County," 334,811 "," 58,223 "," 110,931 "," 58,050 "," 15,641 "," 32,314 "," 15,591 "," 138,553 "," 39,551 "," 95,889 "," 32,067 "," 3,324 ", 148 ," 1,116 "," 6,008 "," 6,212 "," 5,632 "," 58,976 "," 18,046 "," 1,524 ", 71 , 759 ," 3,491 "," 3,467 "," 3,144 ", 164 , 2 , -   , -   , 8 , 7 , 15 , 13 ," 228,280 "," 80,376 "," 8,265 ", 365 , 876 ," 1,753 "," 6,134 "," 6,477 ",,
Alabama,Marengo County," 21,027 "," 2,904 "," 3,673 ", 929 ," 1,393 "," 1,840 ", 361 ," 8,645 "," 4,139 "," 4,139 "," 4,346 ", 15 , 4 , 15 , 126 , 145 , 703 ," 2,993 "," 3,333 ", 5 , 2 , 11 , 77 , 86 , 519 , 838 ," 1,116 ", 1 , 1 , 8 , 33 , 22 , 285 ," 9,751 "," 10,872 ", 53 , 13 , 17 , 34 , 118 , 809 ,,
Alabama,Marion County," 30,776 ", 467 , 467 , -   , 159 , 159 , -   ," 13,811 "," 6,414 "," 12,989 ", 471 , 22 , 7 , 46 , 276 , 275 , 841 ," 10,966 ", 315 , 20 , 7 , 43 , 242 , 240 , 695 , 457 , 4 , 0 , 5 , -   , 6 , 1 , 45 ," 28,791 "," 1,184 ", 54 , 14 , 37 , 73 , 257 , 967 ,,
Alabama,Marshall County," 93,019 "," 10,359 "," 15,787 "," 10,359 "," 4,666 "," 7,125 "," 4,666 "," 40,009 "," 17,111 "," 35,773 ", 555 , 212 , 42 , 303 ," 3,124 "," 3,934 "," 2,348 "," 27,624 ", 260 , 145 , 15 , 241 ," 2,177 "," 2,682 "," 1,720 ", -   , -   , -   , -   , -   , -   , -   , -   ," 81,464 "," 1,494 ", 478 , 103 , 474 , 948 ," 3,318 "," 2,700 ",,
Alabama,Mobile County," 412,992 "," 51,721 "," 109,353 "," 51,297 "," 20,063 "," 44,410 "," 19,999 "," 160,104 "," 63,301 "," 101,193 "," 50,665 "," 2,890 ", 76 ," 1,619 "," 3,661 "," 3,620 "," 9,998 "," 67,443 "," 24,029 "," 1,760 ", 49 ," 1,342 "," 2,095 "," 1,971 "," 5,515 ", 410 , 3 , 2 , -   , 10 , 11 , 7 , 20 ," 248,647 "," 142,992 "," 7,561 ", 204 , 679 ," 1,359 "," 4,756 "," 11,498 ",,
Alabama,Monroe County," 23,068 "," 2,148 "," 2,148 ", 1 ," 1,307 "," 1,307 ", 1 ," 10,616 "," 5,608 "," 5,902 "," 4,373 ", 30 , 4 , 125 , 183 , 102 , 664 ," 5,253 "," 3,577 ", 21 , 4 , 119 , 158 , 84 , 539 , 838 ," 1,243 ", 5 , -   , 86 , 42 , 21 , 228 ," 12,718 "," 9,614 ", 67 , 9 , 33 , 66 , 231 , 764 ,,
Alabama,Montgomery County," 229,363 "," 31,749 "," 79,255 "," 29,169 "," 12,322 "," 33,988 "," 11,300 "," 89,714 "," 37,001 "," 34,804 "," 50,033 "," 1,727 ", 62 , 226 ," 2,863 "," 3,074 "," 6,904 "," 16,206 "," 23,388 ", 958 , 24 , 106 ," 1,021 "," 1,036 "," 2,868 "," 1,646 ", 874 , 14 , 1 , 25 , 80 , 35 , 390 ," 90,656 "," 125,477 "," 4,821 ", 171 , 412 , 824 ," 2,883 "," 7,939 ",,
Alabama,Morgan County," 119,490 "," 13,518 "," 27,107 "," 13,350 "," 4,942 "," 11,403 "," 4,907 "," 51,881 "," 18,992 "," 41,909 "," 6,000 ", 272 , 41 , 465 ," 3,194 "," 3,555 "," 2,707 "," 31,087 "," 2,869 ", 176 , 18 , 336 ," 1,459 "," 1,439 "," 1,589 ", 162 , 1 , -   , 1 , 1 , 8 , 1 , 10 ," 95,404 "," 14,185 ", 691 , 107 , 455 , 910 ," 3,186 "," 3,114 ",,
Alabama,Perry County," 10,591 "," 2,093 "," 2,093 ", -   ," 1,475 "," 1,475 ", -   ," 5,227 "," 3,565 "," 1,562 "," 3,610 ", 14 , 2 , 8 , 29 , 56 , 762 ," 1,188 "," 3,186 ", 4 , 2 , 5 , 23 , 26 , 689 , 477 ," 1,600 ", 6 , 0 , 6 , 21 , 23 , 697 ," 3,204 "," 7,276 ", 30 , 5 , 4 , 8 , 27 , 876 ,,
Alabama,Pickens County," 19,746 ", 410 , 410 , -   , 148 , 148 , -   ," 8,887 "," 4,090 "," 5,162 "," 3,534 ", 18 , 0 , 12 , 160 , 144 , 582 ," 4,517 "," 2,560 ", 16 , 0 , 10 , 124 , 123 , 460 , 188 , 217 , 1 , -   , 0 , 8 , 8 , 62 ," 11,110 "," 8,211 ", 36 , 1 , 19 , 39 , 136 , 670 ,,
Alabama,Pike County," 32,899 "," 3,815 "," 6,855 "," 3,123 "," 1,726 "," 3,749 "," 1,453 "," 14,201 "," 7,234 "," 8,491 "," 4,988 ", 261 , 10 , 87 , 364 , 301 , 912 ," 6,318 "," 2,979 ", 52 , 9 , 70 , 265 , 214 , 620 , 451 , 226 , 3 , -   , 14 , 11 , 8 , 86 ," 19,144 "," 12,054 ", 654 , 24 , 51 , 102 , 358 ," 1,049 ",,
Alabama,Randolph County," 22,913 "," 3,359 "," 3,840 "," 1,889 "," 1,510 "," 1,681 ", 766 ," 10,434 "," 4,265 "," 8,013 "," 2,054 ", 24 , 3 , 40 , 300 , 300 , 626 ," 7,489 "," 1,550 ", 18 , 3 , 38 , 294 , 291 , 561 ," 1,151 ", 224 , 1 , 1 , 10 , 177 , 203 , 186 ," 17,532 "," 4,607 ", 55 , 5 , 36 , 71 , 250 , 719 ,,
